height_cm,media,price_gbp,title,url,width_cm
90, ,84,Broad Vales Between by Jane Ward,https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,90
60,Oil on canvas,94,The Reaches by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,60
60,Acrylic and oil paint on canvas,N/A,"""Shift"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/shift-by-deanna-lewis,60
60,Oil on canvas,94,The Chaos by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,60
60,Acrylic and oil paint on canvas,N/A,"""Push"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/push-by-deanna-lewis,60
50,oil on canvas,64,SSHHH by Dominic Bradnum,https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,50
60,Oil on canvas,94,With Tomorrow by Chris Hawtin,https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,60
90, ,94,Unfathomable Deeps by Jane Ward,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,90
60,Acrylic and oil paint on canvas,N/A,"""Stroke"" by Deanna Lewis",https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,60
90, ,84,In These Solitudes by Jane Ward,https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,90
150,"oil, watercolour, charcoal and ink on canvas",240,Message Of Undying Love by Dominic Bradnum,https://www.bearspace.co.uk/product-page/message-of-undying-love-by-dominic-bradnum,150
90, ,84,"Of Earth, Air and Water by Jane Ward",https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,90
70, ,94,The High Way (Peak) by Jane Ward,https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,70
90, ,84,From Frozen Floods by Jane Ward,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,90
100,"oil, watercolour, charcoal and ink on canvas",140,"Wherever You Go, I Will Follow by Dominic Bradnum",https://www.bearspace.co.uk/product-page/wherever-you-go-i-will-follow-by-dominic-bradnum,100
1413,Mixed media,N/A,Sovereign,https://www.bearspace.co.uk/product-page/sovereign,1413
30,Oil and acrylic on canvas,64,Take Our Time (Someday) by Chris Hawtin,https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,30
99,Oil & acrylic on canvas,160,The Mortal Frame by Chris Hawtin,https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,99
30,"Oil, acrylic and pigment on canvas",64,Loneliness by Chris Hawtin,https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,30
1413,Mixed media,N/A,copy of Recon Drones by Chris Hawtin,https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,1413
1413,Mixed media,N/A,Recon Drones by Chris Hawtin,https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,1413
